username,list_rank,number_questions,experiment_group,list_rank2,list_length,index
uid16,"[(7, 5), (4, 4), (1, 4), (9, 3), (6, 3), (2, 3), (3, 2), (5, 2), (8, 2)]",6,1,"[7, 4, 1, 9, 6, 2, 3, 5, 8]",9,0
uid17,"[(4, 5), (7, 5), (9, 4), (6, 4), (2, 4), (3, 4), (1, 4), (8, 3), (5, 3)]",7,1,"[4, 7, 9, 6, 2, 3, 1, 8, 5]",9,1
uid18,"[(9, 5), (6, 5), (7, 4), (1, 4), (4, 4), (2, 3), (3, 3), (5, 2), (8, 1)]",4,1,"[9, 6, 7, 1, 4, 2, 3, 5, 8]",9,2
uid9,"[(7, 5), (6, 4), (2, 4), (9, 4), (3, 4), (1, 4), (4, 3), (8, 3), (5, 3)]",10,1,"[7, 6, 2, 9, 3, 1, 4, 8, 5]",9,3
uid13,"[(7, 5), (4, 5), (1, 4), (2, 4), (6, 4), (9, 4), (3, 3), (8, 2), (5, 2)]",8,1,"[7, 4, 1, 2, 6, 9, 3, 8, 5]",9,4
uid8,"[(1, 5), (4, 5), (7, 4), (6, 4), (3, 4), (2, 4), (9, 4), (8, 3), (5, 2)]",8,1,"[1, 4, 7, 6, 3, 2, 9, 8, 5]",9,5
uid1,"[(7, 5), (6, 5), (4, 4), (9, 4), (2, 4), (5, 3), (1, 3), (3, 3), (8, 3)]",8,1,"[7, 6, 4, 9, 2, 5, 1, 3, 8]",9,8
uid3,"[(7, 5), (4, 5), (2, 5), (9, 4), (6, 4), (1, 4), (3, 3), (5, 3), (8, 3)]",7,1,"[7, 4, 2, 9, 6, 1, 3, 5, 8]",9,9
uid12,"[(7, 5), (3, 5), (2, 4), (1, 4), (9, 4), (6, 4), (4, 3), (5, 3), (8, 2)]",8,1,"[7, 3, 2, 1, 9, 6, 4, 5, 8]",9,10
uid14,"[(7, 4), (6, 4), (9, 4), (4, 4), (2, 4), (1, 3), (3, 3), (5, 3), (8, 3)]",12,1,"[7, 6, 9, 4, 2, 1, 3, 5, 8]",9,11
uid6,"[(8, 5), (2, 5), (1, 5), (9, 5), (7, 5), (6, 5), (3, 5), (4, 4), (5, 3)]",14,1,"[8, 2, 1, 9, 7, 6, 3, 4, 5]",9,12
uid7,"[(2, 5), (6, 5), (8, 5), (3, 5), (9, 5), (7, 4), (1, 4), (4, 4), (5, 3)]",11,1,"[2, 6, 8, 3, 9, 7, 1, 4, 5]",9,13
uid15,"[(6, 4), (1, 4), (8, 4), (9, 4), (7, 4), (2, 3), (3, 3), (4, 3), (5, 3)]",16,1,"[6, 1, 8, 9, 7, 2, 3, 4, 5]",9,14
uid5,"[(2, 5), (7, 5), (4, 5), (6, 5), (1, 4), (9, 4), (8, 4), (3, 3), (5, 3)]",9,1,"[2, 7, 4, 6, 1, 9, 8, 3, 5]",9,15
uid2,"[(7, 5), (2, 5), (9, 4), (4, 4), (6, 4), (1, 4), (5, 3), (8, 3), (3, 2)]",6,1,"[7, 2, 9, 4, 6, 1, 5, 8, 3]",9,16
uid10,"[(5, 5), (4, 5), (9, 5), (1, 5), (7, 5), (3, 4), (6, 4), (8, 4), (2, 3)]",9,1,"[5, 4, 9, 1, 7, 3, 6, 8, 2]",9,17
uid11,"[(7, 5), (2, 5), (6, 4), (9, 4), (4, 4), (1, 4), (3, 4), (8, 3), (5, 3)]",7,1,"[7, 2, 6, 9, 4, 1, 3, 8, 5]",9,20
uid4,"[(4, 5), (7, 5), (9, 4), (2, 4), (3, 4), (1, 4), (6, 4), (8, 3), (5, 3)]",9,1,"[4, 7, 9, 2, 3, 1, 6, 8, 5]",9,21
